Node_name_1;Node_name_2;Node_name_3;Node_name_4;Article_ID_List;Node_number_1;Node_number_2;Node_number_3;Node_number_4
['polici'];['polici'];['polici'];['climat'];[132, 357, 440, 791, 1077, 1097, 1116, 1233, 1245, 1281, 1292, 1297, 1306, 1323, 1327, 1331, 1333, 1350, 1355, 1363, 1427, 1504, 1505, 1598, 1606, 1627, 1645, 1676, 1688, 1689, 1945, 2001, 2031, 2051, 2055, 2173, 2355, 2373, 2386, 2397, 2400, 2441, 2704, 2757, 2817, 2833];4;15;47;104
['polici'];['polici'];['polici'];['european'];[76, 91, 127, 191, 1057, 1075, 1234, 1246, 1249, 1255, 1267, 1269, 1271, 1275, 1280, 1286, 1291, 1301, 1319, 1321, 1336, 1345, 1349, 1351, 1356, 1387, 1667, 2425];4;15;47;105
['polici'];['polici'];['polici'];['polici'];[30, 70, 178, 222, 232, 240, 255, 321, 333, 411, 727, 765, 778, 874, 961, 1036, 1049, 1103, 1140, 1231, 1256, 1258, 1261, 1274, 1278, 1282, 1302, 1304, 1341, 1359, 1491, 1588, 1610, 1625, 1633, 1852, 1928, 2275, 2278, 2281, 2546, 2617, 2745, 2770, 2821];4;15;47;106
['polici'];['polici'];['indc'];['lcts'];[1695, 2524];4;15;48;107
['polici'];['polici'];['indc'];['ghg'];[161, 1954, 2081, 2515, 2530];4;15;48;108
['polici'];['polici'];['indc'];['indc'];[170, 554, 588, 626, 699, 1303, 1772, 2222, 2379, 2588, 2702];4;15;48;109
['polici'];['polici'];['indc'];['technolog'];[637, 2245];4;15;48;110
['polici'];['polici'];['global'];['agreement'];[125, 242, 295, 438, 460, 461, 593, 823, 1064, 1482, 1523, 1571, 1693, 1728, 1746, 1777, 1941, 1942, 2004, 2084, 2374, 2434, 2440, 2589, 2667, 2771, 2863];4;15;49;111
['polici'];['polici'];['global'];['target'];[52, 211, 235, 248, 277, 292, 611, 883, 896, 901, 905, 927, 932, 933, 1013, 1072, 1076, 1320, 1358, 1568, 1595, 1613, 1617, 1620, 1738, 1752, 1805, 1824, 1849, 1861, 1929, 1947, 1961, 1986, 2008, 2014, 2015, 2024, 2026, 2341, 2789, 2825];4;15;49;112
['polici'];['polici'];['global'];['ghg'];[134, 142, 143, 148, 150, 151, 179, 187, 212, 487, 555, 707, 834, 919, 1017, 1053, 1176, 1324, 1552, 1581, 1719, 1730, 1745, 1798, 1838, 1923, 2063, 2074, 2116, 2187, 2226, 2251, 2273, 2301, 2399, 2451, 2457, 2480, 2576, 2602, 2647, 2651, 2665, 2672, 2820, 2867];4;15;49;113
